键名,中文（改这一列）,English（改这一列）,占位符（别改）,分组,用在哪一页,说明
timeOnlySetupBody,拍下当下，1Day 会自动保留拍摄时间；画面上的文字由每个人自己填写。,Film the moment and 1Day keeps its time. Everyone can write their own caption.,,- A story's cover,新建故事 · 海报和设置,
timeOnlyMoment,拍下这一刻,Film this moment,,- A story's cover,成片生成中 / 首页 · 故事卡片,
timeOnlyReminder,现在的你在做什么？留两秒给这一刻。,What are you doing right now? Keep two seconds of it.,,- A story's cover,晚间提醒的手机通知,
next,下一步,Next,,- A story's cover,间接引用（拼在别的文案里）,
back,返回,Back,,- A story's cover,间接引用（拼在别的文案里）,
whoIsFilming,谁来拍,Who's filming,,- A story's cover,新建故事 · 海报和设置,
soloSetupSubtitle,几个小设置，今天就开始。,"A few details, then today begins.",,- A story's cover,新建故事 · 海报和设置,
createByYourself,自己来,By yourself,,- A story's cover,新建故事 · 海报和设置,
createByYourselfCaption,只在这台设备上,Stays on this device,,- A story's cover,新建故事 · 海报和设置,
createWithFriendsCaption,分享邀请码一起拍,"Share a code, film together",,- A story's cover,新建故事 · 海报和设置,
createRoomSubtitle,一起完成今天的故事。,Build today's story together.,,- A story's cover,新建故事 · 海报和设置,
roomExplainer,创建后房间里先只有你。把邀请码发出去，进来的人各自拍各自的瞬间，1Day 缝成一部影片。,"At first the room is just you. Share the invite code — whoever joins films their own moments, and 1Day stitches them into one film.",,- A story's cover,新建故事 · 海报和设置,"Shown before the room exists, so it has to say the room is empty. The composer used to show faces here instead, which read as ""these people are already in"" — no"
yourTakes,你 \(count) 个,you · \(count),YES,- A story's cover,故事页 · 顶部,"Beside the room's own count, so ""3/5"" can mean the day and this can mean me. Only shown when the two differ."
storyNameLabel,故事名字,Story name,,- A story's cover,自己写题目（AI 写瞬间） / 新建故事 · 海报和设置,
theMoments,\(count) 个瞬间,The moments · \(count),YES,Moments (composer),新建故事 · 海报和设置,"Carries the number, because it used to be hard-coded to seven and a three-moment story read ""七个瞬间"" over a list of three — a factual error the reader can see, on"
reviewMoments,查看/编辑,Review,,Moments (composer),新建故事 · 海报和设置,
hideMoments,收起,Hide,,Moments (composer),新建故事 · 海报和设置,
addMoment,加一个瞬间,Add a moment,,Moments (composer),新建故事 · 海报和设置,
writeYourOwn,写自己的,Write your own,,Moments (composer),间接引用（拼在别的文案里）,
useTheseMoments,就用这些,Use these,,Moments (composer),自己写题目（AI 写瞬间）,
guidedHeading,想拍什么，由你来写,Write what you might want to film,,Moments (composer),自己写题目（AI 写瞬间）,
guidedSubtitle,先写两个可能遇见的画面就够了。今天真正开始以后，随时还能增加或修改。,Start with two scenes you might encounter. Add or change them anytime once the day begins.,,Moments (composer),自己写题目（AI 写瞬间）,
guidedNamePlaceholder,给这一天起个名字…,Name this day…,,Moments (composer),自己写题目（AI 写瞬间）,
guidedFootnote,还差故事名字，和至少 2 个题目。,Still needs a name and at least 2 prompts.,,Moments (composer),自己写题目（AI 写瞬间）,"Says what ""就用这些"" is still waiting for. A grey button whose reason lives off-screen is a dead end, and the name field scrolls away first."
storyNameNeeded,保存前得先起个名字。,A name is needed before saving.,,Moments (composer),自己写题目（AI 写瞬间） / 新建故事,"Shown on the name card itself, where the fix is."
intentHeading,说说今天要干嘛,What's today for?,,Prompts from one sentence,自己写题目（AI 写瞬间）,
intentSubtitle,一句话就行。生成标题和题目，只填空白，不覆盖已有内容；每项都能改，也可以直接手写。,"One sentence suggests a title and prompts. Only blanks are filled; existing text stays. Edit anything, or write your own.",,Prompts from one sentence,自己写题目（AI 写瞬间）,
intentPlaceholder,比如：今天要搬家,For example: moving house today,,Prompts from one sentence,自己写题目（AI 写瞬间）,
suggestPrompts,出题目,Suggest prompts,,Prompts from one sentence,自己写题目（AI 写瞬间）,
suggestingPrompts,在想…,Thinking…,,Prompts from one sentence,自己写题目（AI 写瞬间）,
suggestFailed,这次没出来，先自己写吧。,Nothing came back — write your own.,,Prompts from one sentence,自己写题目（AI 写瞬间）,"Not an error dialog: the thing they were doing still works, and the list is right there. This only explains why nothing appeared."
suggestRateLimited,出得有点勤，等会儿再试。,That's a lot of asking. Try again later.,,Prompts from one sentence,自己写题目（AI 写瞬间）,
yourPrompts,想拍的画面,Scenes to film,,Prompts from one sentence,自己写题目（AI 写瞬间）,
addAnotherPrompt,再加一个题目,Add another prompt,,Prompts from one sentence,自己写题目（AI 写瞬间）,
chooseFromPromptLibrary,从提示库里选,Choose from the prompt library,,Prompts from one sentence,自己写题目（AI 写瞬间）,
promptLibrary,提示库,Prompt library,,Prompts from one sentence,自己写题目（AI 写瞬间）,
customPromptPlaceholder,例如：出门前,For example: before leaving,,Prompts from one sentence,自己写题目（AI 写瞬间）,
everyonesMoments,大家的瞬间,Everyone's moments,,Timeline,故事页 · 顶部,
viewTimeline,时间线视图,Timeline view,,Timeline,故事页 · 九宫格,
viewGrid,网格视图,Grid view,,Timeline,故事页 · 九宫格,
tapToFilm,点一下开拍,Tap to film,,Timeline,故事页 · 时间线上的片段,
clipLengthRow,片段时长,Clip length,,Timeline,新建故事 · 海报和设置,Row labels. `clipLengthHeader` / `orientationHeader` are the older all-caps section headers and wrap awkwardly inside an `OptionRow`.
orientationRow,画面方向,Frame,,Timeline,新建故事 · 海报和设置,
inviteLabel,邀请,Invite,,Timeline,故事页,
stitchingMoment,正在拼接这个瞬间…,Stitching this moment…,,Timeline,StitchedMomentPreview,
appearance,外观,Appearance,,Timeline,设置页「我」,
systemAppearance,跟随系统,System,,Timeline,间接引用（拼在别的文案里）,
lightAppearance,浅色,Light,,Timeline,间接引用（拼在别的文案里）,
darkAppearance,深色,Dark,,Timeline,间接引用（拼在别的文案里）,
appearanceFootnote,只影响 1Day，不改变系统设置。,Applies to 1Day only — your system setting is untouched.,,Timeline,设置页「我」,
displayAndLanguage,显示与语言,Display & Language,,Timeline,设置页「我」,"One heading over the three ""what the app looks and reads like"" rows. Each is a choice you make once, so they get one line apiece and the options live one screen"
inviteCodeLabel,邀请码,Invite code,,Timeline,故事页 · 顶部,
inviteCodeCopied,已复制,Copied,,Timeline,故事页 · 顶部,
previewTheFilm,预览 · \(count) 个瞬间,Preview · \(count) \(momentWord(count)),YES,Timeline,故事页,
momentsFilmed,拍了 \(filmed)/\(total) 个瞬间,\(filmed) of \(total) filmed,YES,Timeline,故事页 · 各行卡片,"The story page: how far the day has got, and the words on the list of moments that are still yours to take."
dayIsFull,这一天拍满了,The day is full,,Timeline,故事页 · 各行卡片,
watchTheFilm,看成片,See the film,,Timeline,故事页 · 各行卡片,"The way into the film, on the one card the page allows itself — and only once there's nothing left to film."
filmFromMoments,\(clips) 个片段，缝成一部,"\(clips) clips, one film",YES,Timeline,故事页 · 各行卡片,
filmedHeader,拍过的,Filmed,,Timeline,故事页,
stillOpenHeader,还没拍的,Still open,,Timeline,故事页,
startHere,先拍这个？,Start here?,,Timeline,故事页 · 各行卡片,"The one row that's a suggestion. A question, because that's all it is — every other row does exactly the same thing when you tap it."
filmThisOne,开拍,Film it,,Timeline,故事页 · 各行卡片,
addYourTake,加上你的,Add yours,,Timeline,故事页 · 各行卡片,A moment a friend already filmed. The thumbnail plays their take; this row is how mine gets in.
watchThisMoment,看这个瞬间,Watch this moment,,Timeline,故事页 · 各行卡片,
retrySync,重新同步,Retry sync,,Timeline,故事页,
moreLabel,更多,More,,Timeline,故事页,
peopleInRoom,只有你在这个房间,Just you in this room,,Shared room,房间成员名字的组装,The roster's caption. A room of one is worth saying out loud — an invite code nobody used looks exactly like a room full of friends until somebody counts the fa
roomWhoFilmed,只有你拍了,You're the only one so far,,Shared room,房间成员名字的组装,"Whether anyone else showed up. Four sentences rather than a count, because ""2 filmed"" answers none of the four things a room is actually being asked: who's here"
roomWaitingOn,在等 \(who),Waiting on \(who),YES,Shared room,房间成员名字的组装,"Who the room is waiting on. One line about people, never a row per moment: which moment they film is theirs to pick."
generatingTitle,正在生成今天的影片 ✨,Making today's film ✨,,Generating,成片生成中,
generatingSubtitle,把你的一天缝在一起,Auto-stitching your day,,Generating,成片生成中,
mergedProgress,已合成 \(done)/\(total) 个瞬间,\(done) of \(total) moments merged,YES,Generating,成片生成中,
stepCollecting,收集瞬间,Collecting moments,,Generating,成片生成中,
stepSyncing,同步大家的片段,Syncing everyone's clips,,Generating,成片生成中,
stepTransitions,加入转场,Adding transitions,,Generating,成片生成中,
stepFinishing,生成你的故事,Creating your story,,Generating,成片生成中,
stitchingCare,正在细心缝合 ✨,Stitching with care ✨,,Generating,成片生成中,
stitchingCareBody,加上柔和的转场，还有刚刚好的气氛。,Adding smooth transitions and the right vibes.,,Generating,成片生成中,
filmReadyTitle,影片准备好了 🎉,Your 1Day film is ready 🎉,,Final film,成片页 · 底部按钮,
filmReadyBody,属于你这一天的小影片。,A beautiful film of your day.,,Final film,成片页 · 底部按钮,
wholeDayHeader,完整的一天,The whole day,,Final film,成片页 · 底部按钮,
saveAction,保存,Save,,Final film,成片页 · 底部按钮,
shareAction,分享,Share,,Final film,成片页 · 底部按钮,
durationLabel,时长,Duration,,Final film,成片页 · 底部按钮,
momentsLabel,瞬间,Moments,,Final film,成片页 · 底部按钮,
peopleLabel,参与者,People,,Final film,成片页 · 底部按钮,
rebuildFilm,重新生成,Rebuild film,,Final film,成片页,
account,账号,Account,,Account,设置页「我」,
about,关于,About,,Account,设置页「我」,
version,版本,Version,,Account,设置页「我」,
privacyPolicy,隐私政策,Privacy Policy,,Account,设置页「我」,
yourNamePlaceholder,朋友看到的名字,What friends see,,Account,设置页「我」,
yourNameFootnote,共享房间里，你的片段会挂在这个名字下。改名只影响以后拍的。,This is the name on your clips in a shared room. Renaming affects clips from here on.,,Account,设置页「我」,
defaultMemberName,朋友,Friend,,Account,AccountStore,"Apple only hands over a name on the very first sign-in. Without one, somebody has to be called something in a room full of friends."
notSignedIn,未登录（只有共享故事需要登录）,Not signed in — only shared stories need it,,Account,设置页「我」,
signIn,登录,Sign in,,Account,设置页「我」,"The way back in. Until this existed, signing out was one-way from here: the only other sign-in gate is the one guarding a shared story."
signOut,退出登录,Sign out,,Account,设置页「我」,
deleteAccount,删除账号,Delete account,,Account,设置页「我」,
deleteAccountTitle,删除账号和所有内容？,Delete your account and everything in it?,,Account,设置页「我」,
deleteAccountWarning,这会永久删除这台设备上的全部故事和片段，以及你在共享房间里上传的片段、回应和评论。朋友们自己的片段会保留，但你的名字会被移除。此操作无法撤销。,"This permanently removes every story and clip on this device, plus the clips, reactions and comments you added to shared rooms. Your friends keep their own clips, but your name is removed. This cannot be undone.",,Account,设置页「我」,
deleteAccountConfirm,永久删除,Delete permanently,,Account,设置页「我」,
deleteAccountFootnote,退出登录只是登出，故事仍留在设备上。删除账号会清空一切。,Signing out just signs you out; your stories stay on this device. Deleting removes everything.,,Account,设置页「我」,
deletingAccount,正在删除…,Deleting…,,Account,设置页「我」,
deleteAccountFailedTitle,没有删干净,Not fully deleted,,Account,设置页「我」,"Said out loud, because the alternative — a spinner that ends and a screen that looks finished — is the app claiming something it can't check. Naming what is sti"
deleteAccountFailedMessage,网络中断，云端还有一部分没删掉。你的故事和视频都还在这台设备上，没有动。连上网络后再试一次，会从断掉的地方接着删。,The connection dropped and some of your records are still in the cloud. Nothing on this device has been touched. Try again when you're back online and it will pick up where it stopped.,,Account,设置页「我」,
deletedMemberName,已注销的用户,A former member,,Account,房间同步失败时的报错,Replaces a departed creator's name on a room their friends still use.
